creation_date,barcode,material,material_description,brand,material_group,prodhier,MTART,material_category,size,supplier,date_received,cost,srp,gp
5/19/2020,8.851E+12,TMHD4963,(FPO)MIRROR 53-26 NORDIC BEIGE 14.5X21.5,Generic Bathroom,Home and Living,Decorative Mirrors,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,26.87,27,0.004814815
5/19/2020,8.851E+12,TMHD4964,(FPO) MIRROR CABINET 2025,Generic Bathroom,Bathroom,Vanity Sets,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,4779.46,1713,-1.790110917
5/19/2020,8.851E+12,TMHD4965,(FPO) MIRROR CLOCK B0332,Generic Home and Living,Home and Living,Clocks,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,433.91,299,-0.451204013
5/19/2020,8.851E+12,TMHD4966,(FPO) MLDG VERTEX RED SANDALWD C23 75 4X,Generic Home and Living,Building Materials,PVC Mouldings,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,331.2,159,-1.083018868
5/19/2020,8.851E+12,TMHD4967,(FPO) MLDG VERTEX SOFITEL B11 75 4X8,Generic Home and Living,Building Materials,PVC Mouldings,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,331.2,132,-1.509090909
5/19/2020,8.851E+12,TMHD4968,MM STICKON 1STRIP CITRUS,Generic Chemicals and Automotives,Building Maintenance,Cleaning Agents,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,17.3,7,-1.471428571
5/19/2020,8.851E+12,TMHD4969,MM STICKON ANTI STAIN CITRUS 3PC,Generic Chemicals and Automotives,Building Maintenance,Cleaning Agents,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,49.1,18,-1.727777778
5/19/2020,8.851E+12,TMHD4970,(FPO) MSK82910 PLN BLU PLLW CSE 43X43,Generic Home and Living,Home and Living,Bed & Pillow Covers,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,131.25,48,-1.734375
5/19/2020,8.851E+12,TMHD4971,MSK8292 PLN GREY PILLOWCASE 43X43,Generic Home and Living,Home and Living,Wall Art & Decor,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,131.25,189.5,0.307387863
5/19/2020,8.851E+12,TMHD4972,(FPO) MSK8295 PLN BRWN PLLWCS 43X43,Generic Home and Living,Home and Living,Bed & Pillow Covers,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,131.25,15,-7.75
5/19/2020,8.851E+12,TMHD4973,(FPO) MSP1654 VOILE PRNTD CRTN 54X85,Generic Home and Living,Home and Living,Curtains,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,231.75,84,-1.758928571
5/19/2020,8.851E+12,TMHD4974,MY-OZ-HP MICROFIBER RUG,Generic Home and Living,Building Maintenance,Rugs,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,162.75,59,-1.758474576
5/19/2020,8.851E+12,TMHD4975,(FPO) NEW FLORAL TULLE DR/WNDW CRTN,Generic Home and Living,Home and Living,Curtains,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,541.45,24,-21.56041667
5/19/2020,8.851E+12,TMHD4976,(FPO) NOUGAT 4PC SET FULL,Generic Home and Living,Home and Living,Bed & Pillow Covers,HAWA,Outright,,PHASED-OUT ITEMS,5/30/2020,645,452,-0.42699115
5/19/2020,8.851E+12,TMHD4977,NOUGAT 4PC SET KING,Generic Home and Living,Home and Living,Bed & Pillow Covers,HAWA,Outright,,8MHD (FULLWAY MEGAHOME BUILDERS INC),5/30/2020,757.5,212,-2.573113208
